"Code","Name"
"AERO ITBA","Instituto Tecnológico de Buenos Aires / Proyecto Petrel SA (Argentina)"
"AERO JAEN","Aeronautica de Jaen (Spain)"
"AERO KUHLMANN","Aero Kuhlmann (France)"
"AERO MERCANTIL","Aero Mercantil SA (Colombia)"
"AERO MIRAGE","Aero Mirage Inc (United States)"
"AERO MOD","Aero Mod General (United States)"
"AERO SERVICES","Aéro Services Guépard (France) "
"AERO SPACELINES","Aero Spacelines Inc (United States)"
"AEROALCOOL","Aeroálcool Tecnologia Ltda (Brazil)"
"AEROANDINA","Aeroandina SA (Colombia)"
"AERO-ASTRA","Aviatsionnyi Nauchno-Tekhnicheskiy Tsentr Aero-Astra (Russia)"
"AEROBRAVO","Aerobravo Industria Aeronautica Ltda (Brazil)"
"AEROCAD","AeroCad Inc (United States)"
"AEROCAR","Aerocar Inc (United States)"
"AEROCOMP","Aerocomp Inc (United States)"
"AERO-COMPOSITES","Aero-Composites Technologies Inc (United States)"
"AERO-DIFUSION","Aero-Difusión SL (Spain)"
"AERODIS","Aérodis SARL (France)"
"AERODYNOS"," Aerodynos de Colombia SA (Colombia)"
"AERO-EAST-EUROPE","Aero-East-Europe doo (Serbia)"
"AEROJAMES","Aérojames SARL (France)"
"AERO-JODEL","Aero Flugzeugbau Hubert Zuerl (Germany)"
"AEROKOPTER","OOO Aerokopter (Ukraine)"
"AERO-KROS","Aero-Kros Sp z oo (Poland)"
"AEROLAB","Aerolab Srl (Italy)"
"AEROLITES","Aerolites Inc (United States)"
"AEROMERE","Aeromere SpA (Italy)"
"AEROMOT","Aeromot Industria Mecanico-Metalurgica Ltda (Brazil)"
"AERONCA","Aeronautical Corporation of America (United States)"
"AERONIX","Aéronix SARL (France)"
"AEROPLASTIKA","Aeroplastika (Lithuania)"
"AEROPRACT","Aeropract JSC (Russia)"
"AEROPRAKT","Aeroprakt Firma (Ukraine)"
"AEROPRO","Aeropro sro (Slovakia)"
"AEROPROGRESS","Aeroprogress Corporation (Russia)"
"AEROPUP","Aeropup Aircraft, Division of Tekweld Pty Ltd (Australia)"
"AERORIC","Aeroric Nauchno-Proizvodstvennoye Predpriyatie OOO (Russia)"
"AEROS","Aeros sro (Czech Republic)"
"AEROSAMARA","AeroSamara (Russia)"
"AEROSETTE","AeroSette sro (Czech Republic)"
"AEROSPATIALE","Aerospatiale Matra SA (France)"
"AEROSPOOL","Aerospool spol sro (Slovakia)"
"AEROSPORT","Aerosport Inc (United States)"
"AEROSTAR (1)","Aerostar Aircraft Corporation (United States)"
"AEROSTAR (2)","SC Aerostar SA (Romania)"
"AEROSTRUCTURE","Aérostructure SARL (France)"
"AEROSTYLE","Aerostyle GmbH (Germany)"
"AEROTEC (1)","Aerotec SA Industria Aeronáutica (Brazil)"
"AEROTEC (2)","Aerotec - Tecnologías Aeronauticas SA (Colombia)"
"AEROTECH","Aerotech Industries Philippines Inc (Philippines)"
"AEROTECHNIK","Aerotechnik CZ sro (Czech Republic)"
"AEROTEK (1)","Aerotek Inc (United States)"
"AEROTEK (2)","Aeronautical Systems Technology (South Africa)"
"AEROTEK (3)","Aerotek Aviation Inc (Canada)"
"AEROTREK","Aerotrek Aircraft - Rollison Light Sport Aircraft Inc (United States)"
"AEROVOLGA","OOO NPO AeroVolga (Russia)"
"AESL","Aero Engine Services Ltd (New Zealand)"
"AFIC","AFIC Pty Ltd (South Africa)"
"AG-CAT","Ag-Cat Corporation (United States)"
"AGRO-COPTEROS","Agro-Copteros Ltda (Colombia)"
"AGROLOT","Fundacja Agrolot (Poland)"
"AGUSTA","Agusta Aerospace Corporation (United States)"
"AGUSTAWESTLAND","AgustaWestland International Ltd (United Kingdom/Italy)  "
"AI(R)","Aero International (Regional) (UK/France/Italy)"
"AIAA","Atelier Industriel de l'Aéronautique d'Alger (Algeria)"
"AICSA","Aero Industrial Colombiana SA (Colombia)"
"AIDC","Aero Industry Development Center (China-Taiwan)"
"AIEP","Aeronautical Industrial Engineering and Project Management Company Ltd (Nigeria)"
"AII","Aviation Industries of Iran (Iran)"
"AIL","Aeronautics (India) Ltd (India)"
"AIR","Aircraft Investor Resources LLC (United States)"
"AIR & SPACE","Air & Space America Inc (United States)"
"AIR COMMAND","Air Command International Inc (United States)"
"AIR PARTS","Air Parts (NZ) Ltd (New Zealand)"
"AIR PRODUCTS","Air Products Company Inc (United States)"
"AIR TRACTOR","Air Tractor Inc (United States)"
"AIRBUS","Airbus Defence and Space (Spain)"
"AIRBUS HELICOPTERS","Airbus Helicopters (France)"
"AIRBUS HELICOPTERS-HARBIN","see AIRBUS HELICOPTERS and HARBIN"
"AIRBUS HELICOPTERS-KAWASAKI","see AIRBUS HELICOPTERS and KAWASAKI"
"AIRCONCEPT","Airconcept Flugzeug und Gerätebau GmbH und Co KG (Germany)"
"AIRCRAFT DESIGNS","Aircraft Designs Inc (United States)"
"AIRCRAFT HYDRO-FORMING","Aircraft Hydro-Forming Inc (United States)"
"AIRCRAFT INDUSTRIES","Aircraft Industries AS (Czech Republic)"
"AIRCRAFT PARTS","Aircraft Parts and Development Corporation (United States)"
"AIRCRAFT SPRUCE","Aircraft Spruce & Specialty Company (United States)"
"AIRCRAFT TECHNOLOGIES","Aircraft Technologies Inc (United States)"
"AIRDALE","Airdale Flyer Company (United States)"
"AIRDROME AEROPLANES","Airdrome Aeroplanes LLC (United States)"
"AIR-FOUGA","Air-Fouga (France)"
"AIRFRAMES","Airframes Inc (United States)"
"AIRFRAMES-DAKOTA CUB","see AIRFRAMES and DAKOTA CUB"
"AIR-LIGHT","Air-Light GmbH (Germany)"
"AIRLONY","AirLony - Petr Lonsky (Czech Republic)"
"AIRMASTER","Airmaster Inc (United States)"
"AIRMAX","AirMax Construções Aeronáuticas Ltda (Brazil)"
"AIRO","Airo Aviation FZ-LLC (United Arab Emirates)"
"AIRPLANE FACTORY","The Airplane Factory (South Africa)"
"AIRSPORT","Airsport sro (Czech Republic)"
"AIRTECH (1)","Airtech Canada Aviation Services Ltd (Canada)"
"AIRTECH (2)","Aircraft Technology Industries (Indonesia/Spain)"
"AISA","Aeronautica Industrial SA (Spain)"
"AJEP","AJEP Developments (United Kingdom)"
"AJI","American Jet Industries Inc (United States)"
"AKAFLIEG BERLIN","Akademische Fliegergruppe Berlin eV (Germany)"
"AKAFLIEG DARMSTADT","Akademische Fliegergruppe Darmstadt eV (Germany)"
"AKAFLIEG KARLSRUHE","Akademische Fliegergruppe Karlsruhe eV (Germany)"
"AKAFLIEG MUNCHEN","Akademische Fliegergruppe München eV (Germany)"
"AKRON","Akron Aircraft Company Inc (United States)"
"AKROTECH","Akrotech Aviation Inc (United States)"
"AKROTECH EUROPE","Akrotech Europe SA (France)"
"ALANNE","Pentti Alanne (Finland)"
"ALENIA","Alenia (Italy)"
"ALENIA AERMACCHI","Alenia Aermacchi SpA (Italy)"
"ALEXANDRIA","Alexandria Aircraft LLC (United States)"
"ALFA-M","Alfa-M Nauchno-Proizvodstvennoye Predpriyatie AOOT (Russia)"
"ALLISON","Allison Gas Turbine Division GMC (United States)"
"ALMS"," Avions Légers Multi-Services (France)"
"ALON","Alon Inc (United States)"
"ALPAERO","Alpaero-Noin Aéronautique (France)"
"ALPAVIA","Alpavia SA (France)"
"ALPHA","Alpha (Poland)"
"ALPHA AVIATION","Alpha Aviation Ltd (New Zealand)"
"ALPI","Alpi Aviation Srl (Italy)"
"ALPLA","Alpla-Werke Alwin Lechner OHG (Austria)"
"ALTAIR COELHO","Altair Coelho (Brazil)"
"ALTURAIR","Alturair (United States)"
"ALVAREZ","Joseph P.Alvarez (United States)"
"AMAX","Amax Engineering (Australia)"
"AMBROSINI","Societa Aeronautica Italiana Ing.A.Ambrosini & Companie (Italy)"
"AMC","Aircraft Manufacuring Company (United States)"
"AMD","Aircraft Manufacturing and Development Company Inc (United States)"
"AMEAGLE","AmEagle Corporation (United States)"
"AMERICAN","American Aviation Corporation (United States)"
"AMERICAN AFFORDABLE","American Affordable Aircraft (United States)"
"AMERICAN AIRCRAFT","American Aircraft Inc (United States)"
"AMERICAN AUTOGYRO","American Autogyro Inc (United States)"
"AMERICAN CHAMPION","American Champion Aircraft Corporation (United States)"
"AMERICAN EAGLE","American Eagle Aircraft Corporation (United States)"
"AMERICAN GENERAL","American General Aircraft Company (United States)"
"AMERICAN HOMEBUILTS","American Homebuilts' Inc (United States)"
"AMERICAN LEGEND","American Legend Aircraft Company (United States)"
"AMERICAN SPORTSCOPTER","American Sportscopter Inc (United States)"
"AMEUR","Ameur Aviation SA (France)"
"AMS-FLIGHT","AMS-Flight DOO (Slovenia)"
"AMX","AMX International Ltd (Italy/Brazil)"
"ANAHUAC","Fabrica de Aviones Anahuac SA (Mexico)"
"ANDERSON","Anderson Aircraft Corporation (United States)"
"ANDERSON-GREENWOOD","Anderson,Greenwood and Company (United States)"
"ANDREASSON","Björn Andreasson (Sweden)"
"ANGEL","Angel Aircraft Corporation (United States)"
"ANGLIN","Anglin Engineering (United States)"
"ANGLO NORMANDY","Anglo Normandy Aero Engineering (United Kingdom)"
"ANTONIEWSKI","Tomek Antoniewski (Poland)"
"ANTONOV","Antonov OKB (Ukraine)"
"AOI","Arab Organisation for Industrialisation,Aircraft Factory (Egypt)"
"APPLEBAY","Applebay Inc (United States)"
"APPLEGATE & WEYANT","Applegate & Weyant (United States)"
"AQUILA","Aquila Technische Entwicklungen GmbH  (Germany)"
"ARADO","Arado Flugzeugwerke GmbH (Germany)"
"ARC ATLANTIQUE","Arc Atlantique Aviation (France)"
"ARC-41","Aircraft Repairing Company A-41 (Vietnam) "
"ARCTIC","Arctic Aircraft Company (United States)"
"ARDC","Air Force Research and Development Center (Philippines)"
"ARION","Arion Aircraft LLC (United States)"
"ARMSTRONG WHITWORTH","Sir W.G.Armstrong Whitworth Aircraft Ltd (United Kingdom)"
"ARNET PEREYRA","Arnet Pereyra Aero Design (United States)"
"ARROW (1)","Arrow Airplane & Motors Corporation (United States)"
"ARROW (2)","Arrow Aircraft Company (Canada)"
"ARV","ARV Aviation Ltd (United Kingdom)"
"ASAP","Aircraft Sales & Parts (Canada)"
"ASL","ASL Hagfors Aero AB (Sweden)"
"ASSO AEREI","Asso Aerei Srl (Italy)"
"ASSOCIATED AIR","Associated Air (United States)"
"ASTA","Aerospace Technologies of Australia Pty Ltd (Australia)"
"ATAC"," American Tactical Aircraft Consultants (United States)"
"ATEC"," ATEC vos (Czech Republic)"
"ATG","Aviation Technology Group Inc (United States)"
"ATLAS","Atlas Aircraft Corporation of South Africa (Pty) Ltd (South Africa)"
"ATR","GIE Avions de Transport Régional (France/Italy)"
"AUSTER","Auster Aircraft Ltd (United Kingdom)"
"AUSTFLIGHT","Austflight ULA Pty Ltd (Australia)"
"AUSTRALIAN AEROSPACE","Australian Aerospace Pty Ltd (Australia)"
"AUSTRALITE","Australite Inc (United States)"
"AUTOGYRO","AutoGyro Europe GmbH (Germany)"
"AVANTAGE","OOO Samoletstroitelynyi Kompaniya Avantazh (Russia)"
"AVCRAFT","AvCraft Aviation LLC (United States)"
"AVEKO","Aveko sro (Czech Republic)"
"AVIA (1)","Azionari Vercellese Industrie Aeronautiche (Italy)"
"AVIA (2)","Avia-Zavody Jirího Dimitrova (Czech Republic)"
"AVIA (3)","Nauchno-Proizvodstvennoe Obedinenie Avia (Russia)"
"AVIA BALTIKA","Avia Baltika Aviation Ltd (Lithuania)"
"AVIABELLANCA","AviaBellanca Aircraft Corporation (United States)"
"AVIADESIGN","AVIADESIGN, INC. (UNITED STATES)"
"AVIAIMPEX"," Aviaimpex JSC (Ukraine)"
"AVIAKIT","Aviakit Flight-Concept SARL (France) "
"AVIAMILANO","Aviamilano Costruzioni Aeronautiche SRL (Italy)"
"AVIASTROITEL","AviaStroitel Ltd (Russia)"
"AVIAT","Aviat Aircraft Inc (United States)"
"AVIATECH","Produits Aviatech (Canada)"
"AVIATIKA","Aviatika JSC (Russia)"
"AVIATIK-ALYANS","JSC Aviatik-Alyans (Russia)"
"AVIATION DEVELOPMENT","Aviation Development International Ltd (United States)"
"AVIATION ENTERPRISES","Aviation Enterprises Ltd (United Kingdom)"
"AVIATION FARM","Aviation Farm Ltd (Poland)"
"AVIATION SCOTLAND","Aviation Scotland Ltd (United Kingdom)"
"AVIATION TRADERS","Aviation Traders (Engineering) Ltd (United Kingdom)"
"AVIATON","Aviaton Nauchno-Proizvodstvennaya Aviatsionnaya Firma (Russia)"
"AVICOPTER","AVIC Helicopter Company (China)"
"AVID","Avid Aircraft Inc (United States)"
"AVIOANE","SC Avioane SA (Romania)"
"AVION","OKB Avion (Russia)"
"AVIONES COLOMBIA","Aviones de Colombia SA (Colombia)"
"AVIONS FAIREY","Avions Fairey SA (Belgium)"
"AVIOTECHNICA","Aviotechnica Ltd (Bulgaria/Russia)"
"AVIOTECNICA","AvioTecnica (Italy)"
"AVIPRO","AviPro Aircraft Ltd (United States)"
"AVRO","A.V.Roe & Company (United Kingdom)"
"AVTEK","Avtek Corporation (United States)"
"AYRES","Ayres Corporation (United States)"
"B & F TECHNIK","B & F Technik Vertriebs GmbH (Germany)"
"BAC","British Aircraft Corporation Ltd (United Kingdom)"
"BACAU","Intreprinderea de Avioane Bacau (Romania)"
"BACKCOUNTRY","Backcountry Super Cubs LLC (United States)"
"BAE SYSTEMS","BAE Systems PLC (United Kingdom)"
"BAE SYSTEMS AUSTRALIA","BAE Systems Australia Ltd (Australia)"
"BAKENG","Bakeng Aircraft (United States)"
"BARNETT","Barnett Rotorcraft (United States)"
"BARR","Barr Aircraft (United States)"
"BASLER","Basler Turbo Conversions Inc (United States)"
"BD-MICRO","BD-Micro Technologies Inc (United States)"
"BEACHNER","Chris Beachner (United States)"
"BEAGLE","Beagle Aircraft (1969) Ltd (United Kingdom)"
"BEAGLE-AUSTER","Beagle-Auster Ltd (United Kingdom)"
"BEDE","BD Micro Technologies Inc (United States)"
"BEECH","Beech Aircraft Corporation (United States)"
"BEECHCRAFT","Beechcraft Corporation (United States)"
"BEECH-SFERMA","see BEECH and SFERMA"
"BEETS","Glenn Beets (United States)"
"BEIJING KEYUAN","Beijing Keyuan Light Aircraft Industrial Company Ltd (China)"
"BEL-AIRE","Bel-Aire Aviation (United States)"
"BELL","Bell Aircraft Corporation (United States)"
"BELL-AGUSTA","Bell-Agusta Aerospace Company (United States/Italy)"
"BELLANCA","Bellanca Aircraft Corporation (United States)"
"BELL-BOEING","see BELL and BOEING"
"BENGIS","Bengis Aircraft Company (Pty) Ltd (South Africa)"
"BERIEV","Beriev OKB (Russia)"
"BERKUT","Berkut Engineering Inc (United States)"
"BEST OFF","Best Off (France)"
"BHARAT","Bharat Heavy Electricals Ltd (India)"
"BILLIE","Billie Aero Marine (France)"
"BILSAM","Bilsam Aviation (Poland)"
"BINDER (1)","Binder Aviatik KG (Germany)"
"BINDER (2)","Binder Motorenbau GmbH (Germany)"
"BITZ","Bitz Flugzeugbau GmbH (Germany)"
"BLACKBURN","Blackburn Aircraft Ltd (United Kingdom)"
"BLERIOT","Société Blériot Aéronautique (France)"
"BLUE YONDER","Blue Yonder Aviation Inc (Canada)"
"BOEING","Boeing Aircraft Company (United States)"
"BOEING CANADA","Boeing Aircraft of Canada Ltd (Canada)"
"BOEING VERTOL","Boeing Vertol Company (United States)"
"BOEVE","Boeve Fiberglass Components Inc (United States)"
"BOISAVIA","Société Boisavia (France)"
"BOLKOW","Bölkow-Apparatebau GmbH (Germany)"
"BOMBARDIER","Bombardier Inc (Canada)"
"BOT AIRCRAFT","BOT Aircraft  GmbH (Germany)"
"BOWERS","Peter M.Bowers (United States)"
"BRADLEY","Bradley Aerospace (United States)"
"BRANDLI","Max Brändli (Switzerland)"
"BRANTLY","Brantly Helicopter Corporation (United States)"
"BRANTLY-HYNES","Brantly-Hynes Helicopter Inc (United States)"
"BRDITSCHKA","H.W.Brditschka OHG (Austria)"
"BREDANARDI","BredaNardi Costruzione Aeronautiche SpA (Italy)"
"BREEZER","Breezer Aircraft GmbH & Co KG (Germany)"
"BREGUET","Société des Ateliers d'Aviation Louis Bréguet (France)"
"BRIAN ALLEN","Brian Allen Aviation (United Kingdom)"
"BRISTOL","Bristol Aircraft Ltd (United Kingdom)"
"BRITISH AEROSPACE","British Aerospace (United Kingdom)"
"BRITTEN-NORMAN","B-N Group Ltd (United Kingdom)"
"BRM AERO","BRM Aero sro (Czech Republic)"
"BROKAW","Brokaw Aviation Inc (United States)"
"BROOKLANDS","Brooklands Aerospace Ltd (United Kingdom)"
"BRUMBY","Brumby Aircraft Australia Pty Ltd (Australia)"
"BUCHANAN","Buchanan Aircraft Corporation Ltd (Australia)"
"BUCKER","Bücker Flugzeugbau GmbH (Germany)"
"BUCKER PRADO","Bücker Prado SL (Spain)"
"BUCURESTI","Intreprinderea de Avioane Bucuresti (Romania)"
"BUETHE","Buethe Enterprises Inc (United States)"
"BUHL","Buhl Aircraft Company (United States)"
"BUL","Bourgogne Ultra Léger Aviation (France)"
"BUSHBY","Bushby Aircraft Inc (United States)"
"BUTTERFLY","The Butterfly LLC (United States) "
"C2P","C2P doo (Slovenia)"
"CAARP","Cooperatives des Ateliers Aéronautiques de la Région Parisienne (France)"
"CAB","Constructions Aéronautiques du Béarn (France)"
"CABLE-PRICE","Cable-Price Corporation (New Zealand)"
"CABRINHA","Cabrinha Aircraft Corporation (United States)"
"CADCOR","Cascade Aircraft Development Company LLC (United States)"
"CAG","Construcciones Aeronáuticas de Galicia (Spain)"
"CALLAIR","Call Aircraft Company (United States)"
"CALUMET","Calumet Motorsports Inc (United States)"
"CAMAIR","Camair Aircraft Corporation (United States)"
"CAMERON","Cameron & Sons  Aircraft (United States)"
"CAMPANA","Campana Aviation (France)"
"CANADA AIR RV","Canada Air RV Inc (Canada)"
"CANADAIR","Bombardier Aerospace Canadair (Canada)"
"CANADIAN HOME ROTORS","Canadian Home Rotors Inc (Canada)"
"CANADIAN VICKERS","Canadian Vickers Ltd (Canada)"
"CAP AVIATION","CAP Aviation (France)"
"CAPELLA","Capella Aircraft Corporation (United States)"
"CAPRONI VIZZOLA","Caproni Vizzola Costruzione Aeronautiche SpA (Italy)"
"CARLSON","Carlson Aircraft Inc (United States)"
"CARRIOU","Louis Carriou (France)"
"CARTER","Carter Aviation Technologies LLC (United States)"
"CASA","Construcciones Aeronáuticas SA (Spain)"
"CASSUTT","Thomas K.Cassutt (United States)"
"CATA","Construction Aéronautique de Technologie Avancée (France)"
"CAUDRON","Caudron (France)"
"CCF","Canadian Car & Foundry Company Ltd (Canada)"
"CEA","Centro de Estudos Aeronáuticos - Universidade Federal de Minas Gerais (Brazil)"
"CEI","CEI (United States)"
"CELAIR","Celair (Pty) Ltd (South Africa)"
"CELIER","Celier Aviation (Poland)"
"CENTRE EST","Centre Est Aéronautique (France)"
"CENTURY","Century Aircraft Corporation (United States)"
"CERVA","Consortium Européen de Réalisation et de Vente d'Avions GIE (France)"
"CESSNA","Cessna Aircraft Company (United States)"
"CFM","CFM Aircraft Ltd (United Kingdom)"
"CHAIKA","Samoletostroitel'naya Kompaniya Chaika OOO (Russia)"
"CHALARD","Jacques et Renée Chalard (France)"
"CHAMPION","Champion Aircraft Company Inc (United States)"
"CHANCE VOUGHT","Chance Vought Aircraft Inc (United States)"
"CHANGHE","Changhe Aircraft Factory (China)"
"CHASLE","Yves Chasle (France)"
"CHAYAIR","Chayair Manufacturing and Aviation (South Africa)"
"CHENGDU","Chengdu Aircraft Industrial Corporation (China)"
"CHERNOV","Opytnyi Konstruktorskoye Byuro Chernov B & M OOO (Russia)"
"CHICHESTER-MILES","Chichester-Miles Consultants Ltd (United Kingdom)"
"CHILTON","Chilton Aircraft (United Kingdom)"
"CHINCUL","Chincul SACAIFI (Argentina)"
"CHRIS TENA","Chris Tena Aircraft Association (United States)"
"CHRISTEN","Christen Industries Inc (United States)"
"CIAC","Corporación de la Industria Aeronáutica de Colombia SA  (Colombia)"
"CICARE","Cicaré Helicópteros SA (Argentina)"
"CIRCA","Circa Reproductions (Canada)"
"CIRRUS","Cirrus Design Corporation (United States)"
"CLAASSEN","Claassen (United States)"
"CLASS","Canadian Light Aircraft Sales and Services Inc (Canada)"
"CLASSIC","Classic Aircraft Corporation (United States)"
"CLASSIC SPORT","Classic Sport Aircraft (United States)"
"CLAUDIUS DORNIER","Claudius Dornier Seastar GmbH & Co KG (Germany)"
"CLIFFORD AEROWORKS","Clifford Aeroworks (United States)"
"COBALT","Cobalt Aéronautique Canada Inc (Canada)"
"COBELAVIA","Compagnie Belge d'Aviation (Belgium)"
"COBRA","Cobra Aviation (Australia)"
"COLEMILL","Colemill Enterprises Inc (United States)"
"COLLINS","Collins Aero (United States)"
"COLOMBAN","Michel Colomban (France)"
"COLONIAL","Colonial Aircraft Corporation (United States)"
"COLUMBIA","Columbia Aircraft Manufacturing Corporation (United States)"
"COLYAER","Colyaer - Construcciones Ligeras y Aeronáuticas SL (Spain)"
"COMAC","Commercial Aircraft Corporation of China Ltd (China)"
"COMMANDER","Commander Aircraft Company (United States)"
"COMMONWEALTH (1)","Commonwealth Aircraft Corporation Pty Ltd (Australia)"
"COMMONWEALTH (2)","Commonwealth Aircraft Corporation Inc (United States)"
"COMP AIR","Comp Air Inc (United States)"
"COMPOSIT AIRPLANES","Composit Airplanes spol sro (Czech Republic)"
"CONAIR","Conair Aviation Ltd (Canada)"
"CONROY","Conroy Aircraft Corporation (United States)"
"CONSOLIDATED","Consolidated Aircraft Corporation (United States)"
"CONTINENTAL COPTERS","Continental Copters Inc (United States)"
"CONVAIR","Consolidated-Vultee Aircraft Corporation (United States)"
"COOPAVIA","Coopérative de Groupement et d'Approvisionnement en Matériel Aéronautique (France)"
"COOPAVIA-MENAVIA","see COOPAVIA and MENAVIA"
"CORBEN","Corben Aircraft Company (United States)"
"CORBY","John C.Corby (Australia)"
"CORVUS","Corvus Aircraft Kft (Hungary)"
"COSY","Cosy Europe (Germany)"
"COUNTRY AIR","Country Air Inc (United States)"
"COUPE","Coupé-Aviation (France)"
"CO-Z","Co-Z Development Corporation (United States)"
"CRAE","CRAE Elettromeccanica SpA (Italy)"
"CRAIOVA","Intreprinderea de Avioane Craiova (Romania)"
"CRANFIELD","Cranfield Institute of Technology, College of Aeronautics (United Kingdom)"
"CREATIVE FLIGHT","Creative Flight Inc (Canada)"
"CROSES","Emilien Croses (France)"
"CSA","Czech Sport Aircraft Inc (Czech Republic)"
"CSS","Centralne Studium Samolotów (Poland)"
"CTRM","Composites Technology Research Malaysia Sdn Bhd (Malaysia)"
"CUB","Cub Aircraft Company (Canada)"
"CUB CRAFTERS","Cub Crafters Inc (United States)"
"CULP","Culps Specialties (United States)"
"CULVER","Culver Aircraft Company (United States)"
"CURTISS","Curtiss-Wright Corporation (United States)"
"CUSTOM FLIGHT","Custom Flight Components Ltd (Canada)"
"CVJETKOVIC","Anton Cvjetkovic (United States)"
"CZAW","Czech Aircraft Works sro (Czech Republic)"
"DAC","Dutch Aeroplane Company VOF (Netherlands)"
"DAEWOO","Daewoo Heavy Industries Company Ltd (South Korea)"
"DAKOTA CUB","Dakota Cub Aircraft Inc (United States)"
"DALLACH","WD Flugzeugleichtbau GmbH (Germany)"
"DALLAIR","Dallair Aeronautica Srl (Italy)"
"DAMOURE-FABRE","Damoure et Fabre (France)"
"D'APUZZO","Nicholas E.D'Apuzzo (United States)"
"DART","Dart Aircraft Company (United States)"
"DASA","Daimler-Benz Aerospace AG (Germany)"
"DASSAULT","Avions Marcel Dassault-Bréguet Aviation (France)"
"DASSAULT-DORNIER","see DASSAULT and DORNIER"
"DATWYLER","MDC Max Dätwyler AG (Switzerland)"
"DAVIS","Leeon D.Davis (United States)"
"DE HAVILLAND","The De Havilland Aircraft Company Ltd (United Kingdom)"
"DE HAVILLAND AUSTRALIA","The De Havilland Aircraft Company Pty Ltd (Australia)"
"DE HAVILLAND CANADA","Bombardier Aerospace De Havilland (Canada)"
"DE SCHELDE","Koninklijke Maatschappij De Schelde (Netherlands)"
"DEAN-WILSON","Dean-Wilson Aviation Pty Ltd (Australia)"
"DEBORDE-ROLLAND","Yves Deborde et Jean-Louis Rolland (France)"
"DELISLE","Club Aeronautique Delisle Inc (Canada)"
"DENEL","Denel Aviation (South Africa)"
"DENIZE","Robert Denize (France)"
"DENNEY","Denney Aerocraft Company (United States)"
"DERAZONA","PT Derazona Aviation Industry (Indonesia)"
"DERRINGER","Derringer Aircraft Company LLC (United States)"
"DESJARDINS"," Jacques Desjardins (France)"
"DEWOITINE","Constructions Aéronautiques Emile Dewoitine (France)"
"DF HELICOPTERS","DF Helicopters SRL (Italy)"
"DG FLUGZEUGBAU","DG Flugzeugbau GmbH (Germany)"
"DIAMOND","Diamond Aircraft Industries GmbH (Austria)"
"DICKEY","Shirl Dickey Enterprises (United States)"
"DIJKMAN-DULKES","Cor Dijkman-Dulkes (Netherlands)"
"DINFIA","Dirección Nacional de Investigaciones y Fabricaciones Aeronáuticas (Argentina)"
"DIRECT FLY","Direct Fly sro (Czech Republic)"
"DIRGANTARA","PT Dirgantara Indonesia (Indonesia)"
"DISTAR","Distar CZ AS (Czech Republic)"
"DM AEROSPACE","DM Aerospace Ltd (United Kingdom)"
"DORNA","H F Dorna Company (Iran)"
"DORNIER","AG für Dornier-Flugzeuge (Switzerland)"
"DOUGLAS","Douglas Aircraft Company Inc (United States)"
"DOVA","Dova AS (Czech Republic)"
"DOWNER","Downer Aircraft Industries Inc (United States)"
